P	S	D	H1 	H2	F	L	w
195.00	800.00	7.88	325.00	1650.00	5.00	113.00	4.60
25.00	200.00	4.41	399.00	820.00	50.00	592.50	1.90
90.00	100-400	2.60	407.00	746.00	3.00	105.50	0.03
100.00	100.00	2.54	168.00	746.00	3.00	105.56	0.58
100.00	143.00	2.54	177.00	746.00	3.00	105.56	0.28
100.00	200.00	2.47	163.00	746.00	3.00	105.56	0.59
100.00	400.00	2.40	157.00	746.00	3.00	105.56	0.75
90.00	100.00	4.54	236.60	746.00	3.00	211.12	11.90
90.00	200.00	4.54	373.20	746.00	3.00	211.12	8.82
90.00	300.00	4.54	396.70	746.00	3.00	211.12	8.43
90.00	400.00	4.54	297.70	746.00	3.00	211.12	10.80
110.00	350.00	8.01	381.60	746.00	6.00	105.56	2.90
110.00	450.00	8.01	393.20	746.00	6.00	105.56	2.50
110.00	550.00	8.01	348.60	746.00	6.00	105.56	3.40
110.00	650.00	8.01	317.50	746.00	6.00	105.56	4.10
250.00	1000.00	4.54	885.00	746.00	8.00	188.50	0.84
250.00	1000.00	4.54	839.00	746.00	8.00	188.50	1.46
280.00	800.00	7.85	657.20	1600.00	50.00	226.19	0.37
280.00	400.00	7.85	379.60	1600.00	50.00	226.19	1.45
110.00	100.00	2.59	173.80	746.00	3.00	105.56	0.47
110.00	150.00	2.59	181.20	746.00	3.00	105.56	0.29
110.00	250.00	2.59	167.00	746.00	3.00	105.56	0.54
110.00	350.00	2.59	158.70	746.00	3.00	105.56	0.76
80.00	100.00	4.32	955.00	746.00	3.00	70.37	2.65
80.00	200.00	4.32	980.30	746.00	3.00	70.37	1.42
80.00	300.00	4.32	974.00	746.00	3.00	70.37	1.76
80.00	400.00	4.32	906.00	746.00	3.00	70.37	2.24
325.00	800.00	4.99	479.20	1650.00	5.00	211.12	9.62
325.00	880.00	4.99	560.80	1650.00	5.00	211.12	3.38
325.00	1040.00	4.99	530.20	1650.00	5.00	211.12	6.60
325.00	1200.00	4.99	469.10	1650.00	5.00	211.12	10.50
285.00	960.00	8.00	355.00	2800.00	5.00	200.00	0.76
100.00	250.00	7.98	220.00	840.00	3.00	211.12	9.87
100.00	83.30	7.98	308.00	840.00	3.00	211.12	6.28
100.00	83.30	7.98	320.00	840.00	3.00	211.12	4.49
100.00	83.30	7.98	600.00	840.00	3.00	211.12	0.74
100.00	83.30	7.98	611.00	840.00	3.00	211.12	0.05
100.00	280.00	7.80	540.00	1600.00	5.00	216.00	0.17
100.00	400.00	7.80	523.40	1600.00	5.00	216.00	0.18
100.00	500.00	7.80	472.30	1600.00	5.00	216.00	0.09
200.00	750.00	7.80	400.00	1610.00	10.00	200.00	0.45
210.00	500.00	2.52	150.00	1602.00	5.00	125.66	7.80
275.00	500.00	2.52	145.00	1602.00	5.00	125.66	8.00
320.00	500.00	2.52	188.00	1602.00	5.00	125.66	8.30
350.00	500.00	2.52	155.00	1602.00	5.00	125.66	5.50
100.00	55.60	7.72	395.00	746.00	3.00	140.74	2.61
100.00	83.00	7.33	313.00	746.00	3.00	140.74	1.90
100.00	166.70	7.25	396.00	746.00	3.00	140.74	1.30
100.00	250.00	6.94	400.00	746.00	3.00	140.74	1.48
250.00	2000.00	8.00	390.00	1927.00	4.90	100.00	4.72
190.00	2000.00	8.00	475.00	1927.00	4.90	100.00	0.02
220.00	2000.00	8.00	478.00	1927.00	4.90	100.00	0.00
250.00	2000.00	8.00	562.00	1927.00	4.90	100.00	0.21
280.00	2000.00	8.00	534.00	1927.00	4.90	100.00	0.42
320.00	1450.00	2.34	133.00	600.00	10.00	1908.52	0.93
